Resource_ID,Resource_Name,Resource_Type,Cloud_Provider,Region,Creation_Date,Hourly_Cost,CPU_Utilization_Pct,Memory_Usage_GB,Resource_Status,Owner_Email
RES-00021,dev_test_node_21,VM,GCP,NaN,2025-09-02 00:00:00,3.9278,52.82,16,Stopped,team_alpha@company.com
res-00022,prod-app-server-22,Kubernetes Cluster,azure,eu-west-1,2025-09-30 00:00:00,8.9997,33.92,128,Stopped,unknown
RES-00023,dev_test_node_23,virtual_machine,NULL,ap-south-1,2025-03-16 00:00:00,4.0349,68.17,8,decline,alpha_ops
RES-00024,prod-app-server-24,  VM  ,azure,unknown,2024-02-17 00:00:00,10.6232,,16,RUNNING,NaN
RES-00025,dev_test_node_25,STORAGE_BUCKET,aws,  us-east-1 ,2025-06-14 00:00:00,11.4692,17.47,64,Error,unknown
RES-00026,prod-app-server-26,STORAGE_BUCKET,AWS ,ap-south-1,2026-02-23 00:00:00,2.9982,71.72,64,Running,unknown
RES-00027,dev_test_node_27,Storage Bucket,aws,ap-south-1,2024-07-30 00:00:00,9.6247,6.83,128,Error,team_alpha@company.com
RES-00028,prod-app-server-28,STORAGE_BUCKET,Google Cloud,US-East,2024-08-13 00:00:00,6.0757,67.54,8,Error,beta_dev@company.com
RES-00029,dev_test_node_29,Serverless Function,AWS,us-east-1,2024-02-21 00:00:00,5.6892,87.25,128,Stopped,alpha_ops
RES-00030,prod-app-server-30,Storage Bucket,aws,NaN,2024-09-10 00:00:00,-8.55,67.59,16,Error,system_admin
RES-00031,dev_test_node_31,VM,Azure,eu-west-1,2025-11-24 00:00:00,11.769,60.36,16,active,system_admin
RES-00032,prod-app-server-32,  VM  ,AWS,eu-west-1,2025-10-25 00:00:00,10.2809,94.83,256,Terminated,NULL
RES-00033,dev_test_node_33,Kubernetes Cluster,AWS ,ap-south-1,2026-05-22 00:00:00,3.4938,75.17,128,Running,team_alpha@company.com
RES-00034,prod-app-server-34,S3 Bucket,gcp,eu-west-1,2024-01-11 00:00:00,3.0245,56.91,256,decline,NaN
res-00035,dev_test_node_35,SQL Database,azure,eu-west-1,2024-12-18 00:00:00,4.1416,30.33,4,stopped,
RES-00036,prod-app-server-36,Storage Bucket,AWS ,eu-west-1,2024-10-16 00:00:00,3.7101,33.26,8,Stopped,team_alpha@company.com
RES-00037,dev_test_node_37,STORAGE_BUCKET,AWS ,us-east-1,2025-03-27 00:00:00,3.1635,15.67,256,active,team_alpha@company.com
RES-00038,prod-app-server-38,Storage Bucket,aws,US-East,2024-08-19 00:00:00,11.3572,60.03,2,DELETED,alpha_ops
RES-00039,dev_test_node_39,virtual_machine,azure,us-west-2,2025-12-06 00:00:00,2.9011,70.73,16,Stopped,john.doe@company.com
RES-00040,prod-app-server-40,STORAGE_BUCKET,Azure,us-east-1,2026-04-24 00:00:00,1.5632,70.43,256,Error,alpha_ops
RES-00041,dev_test_node_41,Virtual Machine,aws,us-west-2,2024-01-22 00:00:00,3.3762,402.75,256,Stopped,beta_dev@company.com
RES-00042,prod-app-server-42,Database,gcp,ap-south-1,2024-12-03 00:00:00,8.2857,76.11,,active,
RES-00043,dev_test_node_43,STORAGE_BUCKET,AWS,unknown,2025-06-14 00:00:00,7.8214,24.03,32,Error,NaN
RES-00044,prod-app-server-44,,GCP,US-East,2026-05-11 00:00:00,1.4772,51.6,32,RUNNING,NaN
RES-00045,dev_test_node_45,K8s,Azure  ,unknown,2026-03-19 00:00:00,9.8486,5.24,256,Terminated,NaN
RES-00046,prod-app-server-46,Database,gcp,  us-east-1 ,2024-08-27 00:00:00,3.984,90.41,8,Error,team_alpha@company.com
RES-00047,dev_test_node_47,STORAGE_BUCKET,AWS ,us-east-1,2025-02-23 00:00:00,0.9446,29.78,128,decline,alpha_ops
RES-00048,prod-app-server-48,Blob Storage,AWS ,  us-east-1 ,2025-12-01 00:00:00,9.3371,14.2,4,Error,beta_dev@company.com
RES-00049,dev_test_node_49,S3 Bucket,gcp,eu-west-1,2025-11-29 00:00:00,0.9963,62.94,8,stopped,NaN
RES-00050,prod-app-server-50,Database,GCP,unknown,2025-08-24 00:00:00,8.632,33.25,256,active,john.doe@company.com
RES-00051,dev_test_node_51,,Google Cloud,eu-west-1,2024-02-20 00:00:00,10.4122,77.53,64,stopped,john.doe@company.com
RES-00052,prod-app-server-52,STORAGE_BUCKET,Azure,NaN,2026-03-18 00:00:00,9.1572,32.59,8,stopped,beta_dev@company.com
RES-00053,dev_test_node_53,S3 Bucket,Azure,eu-west-1,2024-10-29 00:00:00,1.4485,18.16,128,CRITICAL,
RES-00054,prod-app-server-54,Blob Storage,GCP,US-East,2025-11-22 00:00:00,-1.6,90.58,4,decline,NaN
RES-00055,dev_test_node_55,Virtual Machine,GCP,ap-south-1,2025-02-01 00:00:00,9.2918,44.19,8,RUNNING,alpha_ops
RES-00056,prod-app-server-56,Lambda,gcp,us-west-2,2024-04-11 00:00:00,11.2722,10.66,4,Error,alpha_ops
RES-00057,  dev_test_node_57  ,  VM  ,gcp,us-west-2,2026-04-29 00:00:00,2.7072,35.72,2,Stopped,beta_dev@company.com
RES-00058,prod-app-server-58,,AWS,us-west-2,2026-15-45,1.5932,15.63,256,Running,unknown
RES-00059,dev_test_node_59,Lambda,Azure  ,eu-west-1,2025-05-05 00:00:00,1.3584,46.47,64,DELETED,beta_dev@company.com
RES-00060,prod-app-server-60,Blob Storage,Google Cloud,US-East,2024-04-11 00:00:00,8.1874,56.55,128,Error,john.doe@company.com
RES-00061,dev_test_node_61,Blob Storage,Google Cloud,eu-west-1,2025-04-30 00:00:00,1.1744,74.08,2,DELETED,unknown
RES-00062,prod-app-server-62,  VM  ,Google Cloud,  us-east-1 ,2024-11-15 00:00:00,2.6671,25.97,64,active,system_admin
RES-00063,dev_test_node_63,STORAGE_BUCKET,Azure  ,us-east-1,2024-01-30 00:00:00,3.8692,5.57,128,active,beta_dev@company.com
RES-00064,prod-app-server-64,SQL Database,Google Cloud,ap-south-1,2026-03-06 00:00:00,11.0429,75.54,-16,active,system_admin
RES-00065,dev_test_node_65,Storage Bucket,Azure  ,us-east-1,2025-08-30 00:00:00,0.5773,61.04,,Stopped,john.doe@company.com
RES-00066,prod-app-server-66,Database,Google Cloud,us-west-2,2025-07-26 00:00:00,0.9102,8.96,,active,
RES-00067,dev_test_node_67,VM,Google Cloud,us-east-1,2025-04-16 00:00:00,1.1107,27.75,4,RUNNING,system_admin
RES-00068,prod-app-server-68,Serverless Function,aws,US-East,2026-01-14 00:00:00,1.8546,28.93,8,decline,alpha_ops
RES-00069,dev_test_node_69,  VM  ,AWS ,unknown,2025-10-01 00:00:00,3.9586,48.84,32,DELETED,team_alpha@company.com
RES-00070,  prod-app-server-70  ,Blob Storage,GCP,us-east-1,2025-08-31 00:00:00,6.9334,88.76,16,Running,NaN
RES-00071,dev_test_node_71,STORAGE_BUCKET,gcp,NaN,2025-12-25 00:00:00,6.5391,39.86,128,Running,team_alpha@company.com
RES-00072,prod-app-server-72,Serverless Function,Google Cloud,eu-west-1,2025-09-09 00:00:00,7.2884,37.71,128,Terminated,alpha_ops
RES-00073,dev_test_node_73,Serverless Function,Azure  ,us-east-1,2025-01-06 00:00:00,4.2782,22.95,8,active,system_admin
RES-00074,prod-app-server-74,Kubernetes Cluster,AWS,unknown,2025-01-20 00:00:00,8.6636,89.4,2,RUNNING,
RES-00075,dev_test_node_75,Lambda,AWS ,us-west-2,2025-04-25 00:00:00,8.4821,46.2,128,CRITICAL,unknown
RES-00076,prod-app-server-76,STORAGE_BUCKET,GCP,us-east-1,2024-04-15 00:00:00,1.5672,,256,CRITICAL,beta_dev@company.com
RES-00077,dev_test_node_77,Blob Storage,AWS,ap-south-1,2024-03-24 00:00:00,-1.16,65.77,8,Active,system_admin
RES-00078,prod-app-server-78,,AWS ,US-East,2026-05-05 00:00:00,7.6149,77.57,4,Active,john.doe@company.com
RES-00079,dev_test_node_79,Database,Azure  ,us-east-1,2024-10-25 00:00:00,3.0146,67.12,64,active,unknown
RES-00080,  prod-app-server-80  ,STORAGE_BUCKET,AWS ,us-east-1,2024-01-17 00:00:00,,66.44,64,Terminated,team_alpha@company.com
RES-00081,dev_test_node_81,Serverless Function,AWS ,unknown,2026-01-03 00:00:00,3.6751,180.59,-16,Stopped,unknown
RES-00082,  prod-app-server-82  ,Serverless Function,azure,eu-west-1,2024-12-05 00:00:00,5.4675,46.12,64,Terminated,NaN
RES-00083,dev_test_node_83,VM,Google Cloud,us-east-1,2024-10-27 00:00:00,8.2649,61.35,256,Running,NaN
RES-00084,prod-app-server-84,S3 Bucket,AWS,us-east-1,2026-02-06 00:00:00,1.7933,78.05,,active,john.doe@company.com
RES-00085,dev_test_node_85,K8s,Azure,unknown,2024-03-19 00:00:00,4.9814,28.34,8,Error,unknown
RES-00086,prod-app-server-86,Database,azure,US-East,2024-05-05 00:00:00,2.1665,98.24,64,decline,
RES-00087,dev_test_node_87,virtual_machine,Azure,  us-east-1 ,2026-03-22 00:00:00,0.3383,39.49,8,DELETED,alpha_ops
RES-00088,prod-app-server-88,SQL Database,Google Cloud,  us-east-1 ,2024-03-16 00:00:00,4.313,77.95,8,Terminated,NULL
RES-00089,dev_test_node_89,S3 Bucket,Azure,us-west-2,2025-06-15 00:00:00,3.1401,56.5,32,DELETED,unknown
RES-00090,prod-app-server-90,virtual_machine,gcp,  us-east-1 ,,7.2139,76.71,2,Error,unknown
RES-00091,dev_test_node_91,Serverless Function,Google Cloud,eu-west-1,2025-03-01 00:00:00,7.5872,72.17,64,RUNNING,beta_dev@company.com
RES-00092,prod-app-server-92,VM,GCP,ap-south-1,2025-01-28 00:00:00,12.0339,81.06,64,stopped,beta_dev@company.com
RES-00093,dev_test_node_93,Virtual Machine,aws,ap-south-1,,7.473,67.88,2,active,NULL
RES-00094,prod-app-server-94,Virtual Machine,Google Cloud,us-east-1,2024-03-16 00:00:00,6.8777,63.27,8,active,NULL
RES-00095,dev_test_node_95,virtual_machine,azure,US-East,2024-05-20 00:00:00,6.4965,88.51,64,Terminated,NULL
RES-00096,prod-app-server-96,STORAGE_BUCKET,Azure  ,US-East,2024-01-18 00:00:00,12.2489,79.5,2,DELETED,NaN
RES-00097,dev_test_node_97,Storage Bucket,AWS,US-East,2026-03-04 00:00:00,8.5123,479.33,2,Error,
RES-00098,prod-app-server-98,K8s,AWS ,  us-east-1 ,2025-06-15 00:00:00,8.2812,34.34,64,CRITICAL,
RES-00099,dev_test_node_99,S3 Bucket,AWS ,us-west-2,2024-10-31 00:00:00,8.6311,49.86,32,Stopped,alpha_ops
RES-00100,prod-app-server-100,Blob Storage,Azure,eu-west-1,2025-03-28 00:00:00,2.6827,30.35,32,Terminated,alpha_ops
RES-00101,dev_test_node_101,Kubernetes Cluster,azure,unknown,2025-04-28 00:00:00,0.0747,91.87,256,Error,john.doe@company.com
RES-00102,prod-app-server-102,  VM  ,aws,unknown,2024-02-08 00:00:00,11.0292,90.99,128,Error,beta_dev@company.com
RES-00103,dev_test_node_103,Virtual Machine,GCP,US-East,2025-04-10 00:00:00,6.179,84.57,16,active,
RES-00104,prod-app-server-104,Lambda,gcp,  us-east-1 ,2025-09-17 00:00:00,10.3391,13.11,8,Terminated,NaN
RES-00104,dev_test_node_105,S3 Bucket,Google Cloud,us-west-2,2025-08-19 00:00:00,$3.5987,10.81,32,Terminated,NULL
RES-00106,prod-app-server-106,Lambda,aws,unknown,2024-08-12 00:00:00,5.6927,39.93,256,CRITICAL,john.doe@company.com
RES-00107,dev_test_node_107,Kubernetes Cluster,AWS ,US-East,2024-03-04 00:00:00,2.5349,20.38,256,active,john.doe@company.com
RES-00108,prod-app-server-108,Virtual Machine,AWS ,us-west-2,2025-04-18 00:00:00,0.2819,5.28,4,Active,NULL
RES-00109,dev_test_node_109,VM,AWS ,us-east-1,2025-10-18 00:00:00,5.2603,40.76,128,RUNNING,alpha_ops
RES-00110,prod-app-server-110,Blob Storage,aws,us-west-2,2024-08-16 00:00:00,12.2313,72.24,128,stopped,john.doe@company.com
RES-00111,dev_test_node_111,  VM  ,aws,us-east-1,2024-01-17 00:00:00,,46.74,2,stopped,team_alpha@company.com
RES-00112,prod-app-server-112,Virtual Machine,Azure,US-East,2025-08-12 00:00:00,8.4099,33.21,16,RUNNING,system_admin
RES-00113,dev_test_node_113,virtual_machine,Google Cloud,US-East,2025-11-18 00:00:00,8.7069,33.04,256,stopped,john.doe@company.com
RES-00114,prod-app-server-114,Kubernetes Cluster,Google Cloud,ap-south-1,2024-07-27 00:00:00,5.6278,55.08,2,Stopped,NULL
RES-00115,dev_test_node_115,  VM  ,Azure  ,us-west-2,2024-01-16 00:00:00,9.271,75.53,16,RUNNING,john.doe@company.com
RES-00116,prod-app-server-116,Blob Storage,GCP,eu-west-1,2026-04-02 00:00:00,10.4982,39.66,16,Terminated,team_alpha@company.com
RES-00117,dev_test_node_117,virtual_machine,azure,eu-west-1,2025-07-17 00:00:00,3.224,95.37,256,Error,beta_dev@company.com
RES-00118,prod-app-server-118,virtual_machine,Azure  ,unknown,2024-03-17 00:00:00,9.5566,83.78,8,Active,john.doe@company.com
RES-00119,dev_test_node_119,K8s,NULL,unknown,2026-15-45,6.7014,51.96,128,Terminated,alpha_ops
RES-00120,prod-app-server-120,S3 Bucket,gcp,eu-west-1,2025-04-15 00:00:00,2.831,84.28,2,active,NULL
RES-00121,  dev_test_node_121  ,virtual_machine,aws,ap-south-1,2026-05-28 00:00:00,11.4902,89.27,256,Stopped,team_alpha@company.com
RES-00122,prod-app-server-122,Serverless Function,AWS,us-west-2,2025-08-24 00:00:00,10.2631,32.98,128,decline,unknown
RES-00123,dev_test_node_123,Lambda,aws,US-East,2024-08-25 00:00:00,9.6149,42.09,2,decline,system_admin
RES-00124,prod-app-server-124,SQL Database,Google Cloud,us-west-2,2025-09-25 00:00:00,0.9281,40.53,8,RUNNING,
RES-00125,dev_test_node_125,  VM  ,GCP,us-east-1,2025-07-22 00:00:00,1.1293,60.81,128,Active,system_admin
RES-00126,prod-app-server-126,Storage Bucket,Azure  ,us-west-2,2024-10-01 00:00:00,,44.37,4,Running,system_admin
RES-00127,dev_test_node_127,Database,aws,us-west-2,2025-09-27 00:00:00,5.5084,82.0,8,Stopped,
RES-00128,prod-app-server-128,SQL Database,gcp,eu-west-1,2026-03-11 00:00:00,10.208,15.65,8,,unknown
RES-00129,dev_test_node_129,  VM  ,GCP,  us-east-1 ,2025-02-22 00:00:00,3.7924,19.41,128,active,NaN
RES-00130,prod-app-server-130,STORAGE_BUCKET,Google Cloud,US-East,2026-04-11 00:00:00,1.0714,66.49,2,DELETED,NULL
RES-00131,dev_test_node_131,VM,GCP,us-west-2,2025-08-12 00:00:00,5.7937,69.56,2,Error,alpha_ops
RES-00132,prod-app-server-132,Lambda,Azure,eu-west-1,2025-05-09 00:00:00,9.0277,11.28,-16,active,team_alpha@company.com
RES-00133,dev_test_node_133,Lambda,azure,US-East,2025-04-18 00:00:00,2.3138,45.4,,DELETED,john.doe@company.com
,prod-app-server-134,S3 Bucket,aws,US-East,2024-11-29 00:00:00,8.3871,95.31,128,DELETED,NULL
RES-00135,dev_test_node_135,STORAGE_BUCKET,GCP,US-East,2024-09-01 00:00:00,8.671,44.11,128,RUNNING,beta_dev@company.com
RES-00136,prod-app-server-136,virtual_machine,Azure  ,us-west-2,2025-04-06 00:00:00,11.8985,23.24,256,RUNNING,NaN
RES-00137,dev_test_node_137,Virtual Machine,azure,eu-west-1,2026-03-10 00:00:00,9.5763,15.59,64,CRITICAL,team_alpha@company.com
RES-00138,prod-app-server-138,Lambda,azure,eu-west-1,2026-06-01 00:00:00,12.4245,27.15,64,DELETED,NULL
RES-00139,dev_test_node_139,Virtual Machine,gcp,US-East,2025-12-21 00:00:00,11.9054,89.16,8,RUNNING,team_alpha@company.com
RES-00140,prod-app-server-140,Storage Bucket,Azure,unknown,2025-02-06 00:00:00,3.3663,47.26,4,RUNNING,unknown
RES-00141,dev_test_node_141,,gcp,US-East,2026-01-18 00:00:00,8.7191,79.4,128,stopped,NaN
RES-00142,prod-app-server-142,K8s,AWS ,  us-east-1 ,2024-04-11 00:00:00,0.2134,19.77,128,stopped,beta_dev@company.com
RES-00143,dev_test_node_143,VM,gcp,eu-west-1,2024-02-23 00:00:00,8.746,66.29,2,stopped,NaN
RES-00144,prod-app-server-144,Virtual Machine,gcp,  us-east-1 ,2025-05-04 00:00:00,9.1372,34.3,8,RUNNING,beta_dev@company.com
RES-00145,dev_test_node_145,K8s,Azure,ap-south-1,2025-02-25 00:00:00,2.7234,18.09,128,Running,NULL
RES-00146,prod-app-server-146,Kubernetes Cluster,GCP,  us-east-1 ,2026-06-15 00:00:00,6.3739,32.63,-16,stopped,NaN
RES-00147,dev_test_node_147,Virtual Machine,gcp,eu-west-1,2025-01-09 00:00:00,5.893,11.82,2,Stopped,john.doe@company.com
RES-00148,prod-app-server-148,Serverless Function,Azure  ,  us-east-1 ,2025-07-03 00:00:00,1.0541,,8,CRITICAL,
RES-00149,dev_test_node_149,VM,GCP,unknown,2024-09-07 00:00:00,5.6726,33.92,8,active,team_alpha@company.com
RES-00150,prod-app-server-150,Kubernetes Cluster,Azure  ,  us-east-1 ,2026-02-06 00:00:00,11.0813,7.74,32,CRITICAL,alpha_ops
RES-00151,dev_test_node_151,Kubernetes Cluster,gcp,us-east-1,2024-09-18 00:00:00,8.4298,74.26,,Active,john.doe@company.com
RES-00152,prod-app-server-152,STORAGE_BUCKET,AWS,US-East,2024-08-17 00:00:00,9.0064,12.28,2,Terminated,john.doe@company.com
RES-00153,dev_test_node_153,Database,GCP,  us-east-1 ,2024-01-09 00:00:00,9.8085,27.68,256,stopped,unknown
,prod-app-server-154,Storage Bucket,Azure  ,NaN,2026-15-45,10.6141,14.72,16,RUNNING,NaN
RES-00155,dev_test_node_155,Virtual Machine,azure,  us-east-1 ,2026-02-04 00:00:00,1.6776,12.0,128,decline,beta_dev@company.com
RES-00156,prod-app-server-156,Lambda,gcp,eu-west-1,2024-05-19 00:00:00,1.9511,48.58,64,stopped,NaN
RES-00157,dev_test_node_157,Serverless Function,GCP,  us-east-1 ,2026-05-27 00:00:00,3.1103,53.01,32,Terminated,team_alpha@company.com
RES-00158,prod-app-server-158,VM,AWS ,NaN,2026-04-30 00:00:00,2.4847,69.17,4,DELETED,system_admin
RES-00159,dev_test_node_159,Serverless Function,AWS ,  us-east-1 ,2024-12-05 00:00:00,0.6425,45.5,256,Active,NULL
RES-00160,prod-app-server-160,S3 Bucket,AWS ,us-west-2,2024-10-29 00:00:00,5.9931,,128,stopped,unknown
RES-00161,  dev_test_node_161  ,SQL Database,gcp,ap-south-1,2025-05-29 00:00:00,0.3355,7.74,32,Active,NaN
RES-00162,prod-app-server-162,VM,azure,unknown,,2.7505,79.56,8,Terminated,john.doe@company.com
RES-00163,dev_test_node_163,Virtual Machine,gcp,US-East,2026-04-09 00:00:00,3.8701,13.44,16,Active,unknown
RES-00164,prod-app-server-164,Blob Storage,Azure,NaN,2025-08-23 00:00:00,1.3954,39.12,128,DELETED,alpha_ops
RES-00165,dev_test_node_165,SQL Database,AWS ,unknown,2025-09-20 00:00:00,7.366,33.69,8,Terminated,team_alpha@company.com
RES-00166,prod-app-server-166,K8s,AWS,us-west-2,2024-08-14 00:00:00,6.2074,12.27,64,Terminated,alpha_ops
RES-00167,dev_test_node_167,Virtual Machine,GCP,us-west-2,2024-04-20 00:00:00,0.00,44.24,128,Error,NULL
RES-00168,prod-app-server-168,K8s,azure,NaN,2024-01-21 00:00:00,0.9368,40.11,4,Running,NaN
RES-00169,dev_test_node_169,SQL Database,Azure,us-east-1,2025-12-14 00:00:00,6.7562,32.81,128,DELETED,unknown
RES-00170,prod-app-server-170,S3 Bucket,AWS ,us-west-2,2024-03-24 00:00:00,9.8131,88.67,128,Terminated,
RES-00171,dev_test_node_171,Database,GCP,us-west-2,2025-12-14 00:00:00,4.304,95.76,2,RUNNING,unknown
RES-00172,prod-app-server-172,Storage Bucket,AWS ,eu-west-1,2025-05-29 00:00:00,7.1479,18.79,256,Terminated,beta_dev@company.com
RES-00173,dev_test_node_173,Serverless Function,Google Cloud,us-west-2,2024-09-21 00:00:00,10.0937,,64,Stopped,unknown
RES-00174,prod-app-server-174,Kubernetes Cluster,Google Cloud,us-east-1,2026-02-15 00:00:00,1.3294,78.47,64,RUNNING,system_admin
RES-00175,  dev_test_node_175  ,S3 Bucket,Google Cloud,us-west-2,2025-02-09 00:00:00,2.9774,91.1,2,Running,system_admin
RES-00176,prod-app-server-176,STORAGE_BUCKET,azure,us-west-2,2024-11-24 00:00:00,8.073,24.77,256,CRITICAL,
RES-00177,dev_test_node_177,Kubernetes Cluster,Google Cloud,us-west-2,2024-06-26 00:00:00,10.4638,47.68,16,Stopped,
RES-00178,prod-app-server-178,Virtual Machine,azure,eu-west-1,2025-04-30 00:00:00,2.0523,75.03,32,Active,NULL
RES-00179,dev_test_node_179,Storage Bucket,azure,unknown,2026-06-04 00:00:00,0.1211,65.53,2,stopped,system_admin
RES-00180,prod-app-server-180,S3 Bucket,Google Cloud,ap-south-1,2024-11-05 00:00:00,4.9704,52.83,64,CRITICAL,system_admin
RES-00181,dev_test_node_181,Serverless Function,gcp,  us-east-1 ,2025-10-29 00:00:00,9.5708,80.31,128,decline,
RES-00182,prod-app-server-182,S3 Bucket,Google Cloud,ap-south-1,2025-08-08 00:00:00,8.92,64.68,64,CRITICAL,system_admin
RES-00183,dev_test_node_183,VM,AWS ,us-west-2,2024-07-06 00:00:00,8.1839,25.88,128,Running,
RES-00184,prod-app-server-184,STORAGE_BUCKET,aws,ap-south-1,2025-01-25 00:00:00,10.8869,97.78,256,Terminated,
RES-00185,dev_test_node_185,virtual_machine,gcp,unknown,2026-03-03 00:00:00,6.1248,13.23,128,RUNNING,NULL
RES-00186,prod-app-server-186,Blob Storage,AWS,NaN,2024-01-05 00:00:00,8.6721,17.06,32,Terminated,alpha_ops
RES-00187,dev_test_node_187,K8s,Azure  ,eu-west-1,2025-05-16 00:00:00,11.8516,42.72,8,stopped,team_alpha@company.com
RES-00188,prod-app-server-188,Virtual Machine,Google Cloud,unknown,2024-02-19 00:00:00,0.2566,43.97,32,Error,beta_dev@company.com
,dev_test_node_189,VM,Azure  ,eu-west-1,2024-04-17 00:00:00,3.541,51.54,32,CRITICAL,john.doe@company.com
RES-00190,prod-app-server-190,Storage Bucket,NULL,eu-west-1,2024-04-23 00:00:00,1.8728,52.84,4,Stopped,john.doe@company.com
RES-00191,dev_test_node_191,STORAGE_BUCKET,Azure,  us-east-1 ,2024-11-16 00:00:00,10.6421,5.9,8,Running,
RES-00192,prod-app-server-192,Blob Storage,gcp,us-west-2,2026-05-05 00:00:00,10.0007,79.51,2,Terminated,alpha_ops
RES-00193,dev_test_node_193,virtual_machine,Google Cloud,  us-east-1 ,2026-05-08 00:00:00,6.0437,87.99,4,,
RES-00194,prod-app-server-194,Lambda,azure,unknown,2025-09-25 00:00:00,3.1147,68.23,2,Active,beta_dev@company.com
RES-00195,dev_test_node_195,  VM  ,AWS ,eu-west-1,2024-08-16 00:00:00,10.2156,,256,active,NaN
RES-00196,prod-app-server-196,VM,Google Cloud,ap-south-1,2026-03-21 00:00:00,3.8144,24.34,64,Running,team_alpha@company.com
RES-00197,dev_test_node_197,K8s,AWS ,unknown,2026-02-16 00:00:00,$1.9597,79.79,64,active,team_alpha@company.com
RES-00198,prod-app-server-198,SQL Database,aws,eu-west-1,2025-02-06 00:00:00,2.3903,75.79,-16,decline,alpha_ops
RES-00199,dev_test_node_199,virtual_machine,AWS ,us-east-1,2026-05-08 00:00:00,9.7657,69.68,8,active,NULL
RES-00200,prod-app-server-200,SQL Database,azure,eu-west-1,2026-04-04 00:00:00,8.7532,32.95,64,CRITICAL,john.doe@company.com
RES-00201,dev_test_node_201,Serverless Function,Azure,unknown,2025-12-11 00:00:00,9.5121,59.49,128,decline,unknown
RES-00202,prod-app-server-202,Virtual Machine,Google Cloud,us-west-2,2026-03-15 00:00:00,3.1395,69.57,2,Running,NaN
RES-00203,dev_test_node_203,Lambda,Azure  ,ap-south-1,2024-10-21 00:00:00,0.00,43.95,64,,team_alpha@company.com
RES-00204,prod-app-server-204,STORAGE_BUCKET,AWS ,  us-east-1 ,2025-01-11 00:00:00,7.5463,95.16,8,decline,alpha_ops
RES-00205,dev_test_node_205,SQL Database,GCP,US-East,2024-01-06 00:00:00,1.9435,35.17,-16,decline,system_admin
RES-00206,prod-app-server-206,Blob Storage,Azure  ,us-west-2,2024-06-12 00:00:00,1.1584,24.95,64,Stopped,john.doe@company.com
RES-00207,dev_test_node_207,  VM  ,AWS,us-east-1,2025-09-20 00:00:00,0.5081,40.66,4,RUNNING,system_admin
RES-00208,prod-app-server-208,Blob Storage,Azure  ,  us-east-1 ,2025-10-29 00:00:00,11.8532,94.41,2,decline,alpha_ops
RES-00209,dev_test_node_209,STORAGE_BUCKET,aws,us-west-2,2026-03-04 00:00:00,0.9108,7.22,2,active,alpha_ops
